Name,AttributeDataType,AttributeDefault,AttributeGroup,AttributePurpose,AttributeInheritsPrefs,AttributeReadOnly,AttributeIntrinsic,OriginalVersion,CodeFirstAdded,CodeAltered,PlainLinkCount,TextLinkCount,WebLinkCount,ChangeRefSet,IsInternalOnly,HasUISetting,Text,TextJa
ChildCount,number,(calculated),General,Calculated data,,true,,1.0.0,Baseline,,,,,,,,"Number of children belonging to the current note (read-only).\nThis returns the count of direct children (i.e. one level down) and not all descendants. For a count (usually larger) of all notes below this see $DescendantCount.\nThe count excludes adornments, which are counted in $AdornmentCount.\nUsually, rules and queries to test whether a note has children will test $ChildCount. But for export if you want the expression to be false if the note has children but none of the children are exported, then using if(childLinks) …is better.",現在のノートに属する子の数 (読み取り専用)。\nこれは、すべての子孫ではなく、直接の子 (つまり、1 レベル下) の数を返します。これより下のすべての音符の数 (通常はこれより大きい値) については、$DescendantCount を参照してください。\nこのカウントには、$AdornmentCount でカウントされる装飾品は含まれません。\n通常、ノートに子があるかどうかをテストするルールとクエリは、$ChildCount をテストします。ただし、エクスポートの場合、ノートに子があり、どの子もエクスポートされない場合に式を false にしたい場合は、if(childLinks) …を使用する方が良いでしょう。
ChosenWord,string,(not set - empty string),Storyspace,Storyspace compatibility,,,,6.3.1,Baseline,,,,,,,,"In Storyspace, stores the word the reader last clicked on when viewing this note.\nNote: this is not set/used by Tinderbox.\nThe value stored is the link anchor text of the text link that was clicked to leave the note, when in read mode.",Storyspace には、読者がこのメモを表示したときに最後にクリックした単語が保存されます。\n注: これは Tinderbox によって設定/使用されません。\n保存される値は、読み取りモードの場合にメモを離れるためにクリックされたテキスト リンクのリンク アンカー テキストです。
Citations,dictionary,(not set - empty file string),References,Data synch,,,,11.5.0,11.5.0,,,,,11.5.0,,,"A dictionary that matches Zotero mnemonic tags with citations generated in the current Zotero style.\nThe default is an empty string, no value being set.\nMore on use of Zotero.",Zotero ニーモニック タグと現在の Zotero スタイルで生成された引用を照合する辞書。\nデフォルトは空の文字列であり、値は設定されていません。\nZotero の使用法について詳しく説明します。
CiteKey,string,(not set - empty string),References,Data synch,,,,11.0.0,11.0.0,,,,,11.0.0,,,"A unique citation key, used by BibTeX and some reference managers.\nUsed with reference import from Reference Managers or textual formatted reference data.",BibTeX および一部の参考資料管理者によって使用される、一意の引用キー。\nReference Manager からの参照インポートまたはテキスト形式の参照データで使用されます。
City,string,(not set - empty string),Places,Locational data,,,,6.0.0,Baseline,,,,,,,,The City field of an address.\nThe automatic geocoding tries to supply these fields automatically when looking up the supplied $Address.,住所の市区町村フィールド。\n自動ジオコーディングは、指定された $Address を検索するときに、これらのフィールドを自動的に指定しようとします。
CityData,dictionary,(not set - empty string),InformationCity,InformationCity view configuration,,,,11.0.0,11.0.0,,,,,11.0.0,,,Holds per-building customisations in Information City view.\nA dictionary of building customisations.,インフォメーション シティ ビューで建物ごとのカスタマイズを保持します。\n建物のカスタマイズに関する辞書。
CityHidden,boolean,false,InformationCity,InformationCity view configuration,,,true,11.0.0,11.0.0,,,,,11.0.0,,,Toggles building visibility in Information City view.\nDefault value: false.\nToggling the boolean value shows/hides the note when the city view is used.,インフォメーション シティ ビューでの建物の表示を切り替えます。\nデフォルト値: false。\nブール値を切り替えると、シティビューが使用されているときにメモが表示/非表示になります。
CityKind,string,(not set - empty string),InformationCity,InformationCity view configuration,,,,11.0.0,11.0.0,,,,,11.0.0,,,"A building's design type in Information City view.\nAllowed types: Beacon Hill, Dome, Pub, Rowhouse, Shophouse, Street, Vendor, Welsh.",インフォメーション シティ ビューの建物のデザイン タイプ。\n許可されるタイプ: ビーコン ヒル、ドーム、パブ、ロウハウス、ショップハウス、ストリート、ベンダー、ウェールズ語。
CityRotate,number,0,InformationCity,InformationCity view configuration,,,,11.0.0,11.0.0,,,,,11.0.0,,,Building's orientation in Information City view.\nValues between 0 and 359. \nRotation via the view context menu cycles values 0/90/180/270.,インフォメーション シティ ビューでの建物の向き。\n0 ～ 359 の値。\nビューのコンテキスト メニューを使用して回転すると、値 0/90/180/270 が循環します。
CityX,number,0,InformationCity,InformationCity view configuration,,,true,11.0.0,11.0.0,,,,,11.0.0,,,"Building's X-axis location in Information City view.\nThis is the X-axis location based on the position of the rotational pivot, which is typically the centre of the city view.",インフォメーション シティ ビューでの建物の X 軸の位置。\nこれは、回転ピボットの位置に基づく X 軸の位置であり、通常は都市ビューの中心になります。
CityY,number,0,InformationCity,InformationCity view configuration,,,true,11.0.0,11.0.0,,,,,11.0.0,,,"Building's Y-axis location in Information City view.\nThis is the Y-axis location based on the position of the rotational pivot, which is typically the centre of the city view.",インフォメーション シティ ビューでの建物の Y 軸の位置。\nこれは、回転ピボットの位置に基づく Y 軸の位置であり、通常は都市ビューの中心になります。
